metric,mean_seed_52_62,std_seed_52_62,minimum,maximum
validation_macro_f1,0.610781650626609,0.004142180006095679,0.6078526870554034,0.6137106141978146
test_macro_f1,0.590788202026983,0.012194701547453054,0.5821652458682328,0.5994111581857331
test_micro_f1,0.5796505051719334,0.014403561934282341,0.5694656488549619,0.5898353614889048
test_six_disease_macro_f1,0.5999051296536874,0.030128192820716597,0.5786012802052628,0.6212089791021119
test_macro_auroc,0.8391561044734002,0.01105291616785154,0.8313405124992259,0.8469716964475744
test_hamming_loss,0.13535714285714284,0.0015152288168283146,0.13428571428571429,0.13642857142857143
test_subset_accuracy,0.37238095238095237,0.009428090415820616,0.3657142857142857,0.379047619047619
