metric,mean_seed_52_62,std_seed_52_62,minimum,maximum
validation_macro_f1,0.5971761886336722,0.02263137217642455,0.5811733919001658,0.6131789853671785
test_macro_f1,0.5696215273783732,0.008908744797703224,0.5633220935200569,0.5759209612366896
test_micro_f1,0.5575263507905748,0.002301841717338599,0.5558987029030266,0.559153998678123
test_six_disease_macro_f1,0.5772543840065812,0.013453916884730261,0.5677410281438683,0.5867677398692942
test_macro_auroc,0.8524867359723298,0.0055310410754193726,0.8485756993208795,0.8563977726237803
test_hamming_loss,0.165,0.008754655386119161,0.15880952380952382,0.1711904761904762
test_subset_accuracy,0.2438095238095238,0.035018621544476644,0.21904761904761905,0.26857142857142857
