metric,mean_seed_52_62,std_seed_52_62,minimum,maximum
validation_macro_f1,0.5964306792649787,0.016236422792575332,0.5849497946061369,0.6079115639238206
test_macro_f1,0.5846778866987964,0.005826084567394574,0.5805582227934254,0.5887975506041674
test_micro_f1,0.5579206169979429,0.005525813208505427,0.5540132770066385,0.5618279569892473
test_six_disease_macro_f1,0.6011291774714811,0.011053154960674898,0.5933134166452821,0.60894493829768
test_macro_auroc,0.8397608071542203,0.007681980136408921,0.8343288269068252,0.8451927874016154
test_hamming_loss,0.16559523809523807,0.014647211896007055,0.15523809523809523,0.17595238095238094
test_subset_accuracy,0.20476190476190476,0.041752971841491376,0.17523809523809525,0.2342857142857143
