metric,mean_seed_52_62,std_seed_52_62,minimum,maximum
validation_macro_f1,0.611057368942109,0.02305759823321731,0.5947531848735261,0.627361553010692
test_macro_f1,0.5838045651428359,0.0031670865500647853,0.5815650967666803,0.5860440335189914
test_micro_f1,0.5791098617182041,0.012478152197211493,0.570286475682878,0.5879332477535302
test_six_disease_macro_f1,0.5936366444657208,0.011235177807242612,0.585692174050383,0.6015811148810587
test_macro_auroc,0.8409585570093823,0.021408651792824696,0.8258203541506144,0.8560967598681501
test_hamming_loss,0.15321428571428572,0.0005050762722761114,0.15285714285714286,0.15357142857142858
test_subset_accuracy,0.2638095238095238,0.01481557065343242,0.25333333333333335,0.2742857142857143
