metric,mean_seed_52_62,std_seed_52_62,minimum,maximum
validation_macro_f1,0.612536042379725,0.00645393337550531,0.607972422324579,0.617099662434871
test_macro_f1,0.5785695377060107,0.013161292960264769,0.5692630982046247,0.5878759772073967
test_micro_f1,0.5515764595621568,0.008044750600828583,0.5458879618593564,0.5572649572649573
test_six_disease_macro_f1,0.5928657350439863,0.01373961106217048,0.5831503628910599,0.6025811071969128
test_macro_auroc,0.8481818282401694,0.014187775770553123,0.8381495557828571,0.8582141006974817
test_hamming_loss,0.18321428571428572,0.0025253813613805177,0.18142857142857144,0.185
test_subset_accuracy,0.15619047619047619,0.013468700594029468,0.14666666666666667,0.1657142857142857
